"","y","x","i","j","subj","stimulus","cond"
"1",32.935255018512,-1,1,1,"1","1","-1"
"2",37.7743991992314,1,1,1,"1","1","1"
"3",29.7226859078164,-1,1,2,"1","2","-1"
"4",39.8031091055497,1,1,2,"1","2","1"
"5",33.8149149995824,-1,1,3,"1","3","-1"
"6",45.0273837121179,1,1,3,"1","3","1"
"7",27.3753843262316,-1,1,4,"1","4","-1"
"8",35.7354565251967,1,1,4,"1","4","1"
"9",33.6989243057171,-1,1,5,"1","5","-1"
"10",40.6121542585197,1,1,5,"1","5","1"
"11",30.3957690140576,-1,1,6,"1","6","-1"
"12",42.941912657844,1,1,6,"1","6","1"
"13",31.5700344080978,-1,1,7,"1","7","-1"
"14",37.4141958436266,1,1,7,"1","7","1"
"15",29.3542217983972,-1,1,8,"1","8","-1"
"16",39.6403423720926,1,1,8,"1","8","1"
"17",25.9258981772539,-1,1,9,"1","9","-1"
"18",43.7881432272847,1,1,9,"1","9","1"
"19",33.1694636327231,-1,1,10,"1","10","-1"
"20",45.8055615616778,1,1,10,"1","10","1"
"21",30.5203299915791,-1,1,11,"1","11","-1"
"22",39.0843632575732,1,1,11,"1","11","1"
"23",33.7547158785265,-1,1,12,"1","12","-1"
"24",38.5262536270585,1,1,12,"1","12","1"
"25",36.9271527771138,-1,1,13,"1","13","-1"
"26",41.8753668557835,1,1,13,"1","13","1"
"27",31.6060405797297,-1,1,14,"1","14","-1"
"28",44.2625029207346,1,1,14,"1","14","1"
"29",33.7131968322206,-1,1,15,"1","15","-1"
"30",40.5986144871261,1,1,15,"1","15","1"
"31",27.991175388783,-1,1,16,"1","16","-1"
"32",39.2918160529908,1,1,16,"1","16","1"
"33",33.0363029285154,-1,1,17,"1","17","-1"
"34",40.7719666066139,1,1,17,"1","17","1"
"35",26.0046539483644,-1,1,18,"1","18","-1"
"36",33.7657724643965,1,1,18,"1","18","1"
"37",22.4321445157109,-1,1,19,"1","19","-1"
"38",37.3228738256336,1,1,19,"1","19","1"
"39",32.4270541606496,-1,1,20,"1","20","-1"
"40",37.4204812387524,1,1,20,"1","20","1"
"41",23.6625459984364,-1,1,21,"1","21","-1"
"42",43.2509789053022,1,1,21,"1","21","1"
"43",29.9745578245068,-1,1,22,"1","22","-1"
"44",38.1043777363461,1,1,22,"1","22","1"
"45",38.172697394792,-1,1,23,"1","23","-1"
"46",42.6565209219045,1,1,23,"1","23","1"
"47",22.4322026037818,-1,1,24,"1","24","-1"
