"","subj","y","cond","timebin"
"1","1",36.5177108056444,"2",0.0999999999999996
"2","1",36.3924619147958,"2",0.2
"3","1",36.3528470788264,"2",0.3
"4","1",36.3031626282715,"2",0.4
"5","1",36.30509074385,"2",0.5
"6","1",36.2914343871882,"2",0.6
"7","1",36.3874542378784,"2",0.7
"8","1",36.2875720171221,"2",0.8
"9","1",36.2732522877616,"2",0.9
"10","1",36.2323543751889,"2",1
"11","1",36.1906098741258,"2",1.1
"12","1",36.3182717561703,"2",1.2
"13","1",36.2675991154233,"2",1.3
"14","1",36.1960741625511,"2",1.4
"15","1",36.291462546139,"2",1.5
"16","1",36.3227679646911,"2",1.6
"17","1",36.2451100196139,"2",1.7
"18","1",36.3180659688278,"2",1.8
"19","1",36.2634776786187,"2",1.9
"20","1",36.1752753599028,"2",2
"21","1",36.0577868830779,"2",2.1
"22","1",36.3263739441766,"2",2.2
"23","1",36.1508194637693,"2",2.3
"24","1",36.1048608337082,"2",2.4
"25","1",36.1224279370857,"2",2.5
"26","1",36.1998007814904,"2",2.6
"27","1",36.2024237736053,"2",2.7
"28","1",36.1872546747165,"2",2.8
"29","1",36.1444746343732,"2",2.9
"30","1",36.1406875184981,"2",3
"31","1",36.1705977556564,"2",3.1
"32","1",36.3042480369408,"2",3.2
"33","1",36.1078855013379,"2",3.3
"34","1",36.1759340828626,"2",3.4
"35","1",36.2525541598318,"2",3.5
"36","1",36.2596406487272,"2",3.6
"37","1",36.2173263058212,"2",3.7
"38","1",36.187203688081,"2",3.8
"39","1",36.0690926063688,"2",3.9
"40","1",36.1462385536341,"2",4
"41","1",36.151846337197,"2",4.1
"42","1",36.1980206295014,"2",4.2
"43","1",36.2434912346985,"2",4.3
"44","1",36.0972687143259,"2",4.4
"45","1",36.0607860030114,"2",4.5
"46","1",36.0816401196032,"2",4.6
"47","1",36.1937271555393,"2",4.7
"48","1",36.0226444321364,"2",4.8
"49","1",36.0164388890698,"2",4.9
"50","1",36.2354977635116,"2",5
"51","1",35.9694426492719,"2",5.1
"52","1",36.2437064005673,"2",5.2
"53","1",36.0913137339715,"2",5.3
"54","1",36.0377976234071,"2",5.4
